단어,positive,negative,그룹
가구,24,0,KT
피쓰스스예전처럼,1,0,KT
컴퓨터,121,276,KT
한대,19,16,KT
시절,25,4,KT
와이파이,147,98,KT
연결,230,51,KT
인가,135,43,KT
느끼다,45,14,KT
나누다,71,6,KT
태블릿,22,28,KT
란동,1,1,KT
그람,1,3,KT
그놈,8,3,KT
단독,78,14,KT
검색,197,54,KT
도가,5,3,KT
선생님,24,4,KT
어디,286,75,KT
죄다,9,2,KT
원인,26,7,KT
선생,4,3,KT
유플케티,1,0,KT
가이,16,1,KT
만추,3,0,KT
천가,1,0,KT
후기,86,22,KT
만개,1,0,KT
추천,225,83,KT
김로,1,0,KT
뭉치다,9,0,KT
타임,26,6,KT
모어,3,1,KT
시골,12,8,KT
고양이,17,9,KT
녹차,1,0,KT
빙수,1,0,KT
벌써,32,4,KT
리리아,2,0,KT
해주,21,5,KT
실수,58,8,KT
멍멍,4,0,KT
통신비,68,13,KT
시로,11,7,KT
아무도,10,2,KT
이올린,0,2,KT
조만간,7,6,KT
그래서,125,37,KT
어차피,124,24,KT
글쓴이,28,2,KT
인지,124,25,KT
투게더,12,6,KT
포함,146,75,KT
그니,3,2,KT
언더,4,2,KT
비슷,131,40,KT
전문가,21,5,KT
가세,11,0,KT
두두,3,3,KT
공기,55,16,KT
통하다,159,16,KT
아이들,17,0,KT
유심,740,296,KT
페이,348,124,KT
등등,44,2,KT
동시,76,6,KT
친구,86,12,KT
양쪽,7,2,KT
링크,443,371,KT
호가,9,0,KT
단점,15,4,KT
어리다,20,2,KT
포기,50,12,KT
당장,24,4,KT
그리다,91,12,KT
선정,15,84,KT
고민,181,24,KT
등급,31,18,KT
멤버쉽혜택이,2,0,KT
이부,2,2,KT
분도,32,4,KT
놓치다,40,6,KT
그리고,118,20,KT
친절,43,11,KT
번거롭다,17,2,KT
챙기다,42,5,KT
공여,0,1,KT
기로,19,6,KT
즐겁다,10,7,KT
저녁,55,2,KT
시간,407,108,KT
내세,2,1,KT
요여,1,2,KT
으헤헷헤헷무,1,0,KT
개인,87,20,KT
티멤버쉽,1,0,KT
마시다,40,3,KT
멤버,56,9,KT
저꼬저꼬오더,1,0,KT
선물,29,18,KT
적히다,46,12,KT
맨날,6,6,KT
키오스크,12,6,KT
은비,3,4,KT
쟁이,13,11,KT
픽업,4,3,KT
사이렌,0,2,KT
똑같다,43,35,KT
스탬프,2,0,KT
쌓이다,12,0,KT
히틀러,3,0,KT
파시즘,8,0,KT
세계,43,9,KT
무한,14,2,KT
정글의 법칙,1,0,KT
지배,7,0,KT
다윈,1,0,KT
법칙,1,0,KT
그래도,111,115,KT
사회,44,0,KT
적자생존,1,0,KT
약육강식,1,0,KT
자연,9,2,KT
도태,1,0,KT
강자,3,0,KT
약자,11,8,KT
순리,1,0,KT
우월,10,0,KT
게르만,1,0,KT
열등,1,0,KT
유대,1,0,KT
민족,3,0,KT
학살,3,0,KT
무슨,96,12,KT
세계관,1,0,KT
외환,3,0,KT
위기,22,0,KT
이명박,7,0,KT
거치다,22,6,KT
급속히,1,0,KT
권력,14,4,KT
시각,15,0,KT
핵심,20,0,KT
기회주의,1,0,KT
이기주의,3,1,KT
사상,8,0,KT
가끔,57,4,KT
소유,11,0,KT
아파트,72,10,KT
계층,2,0,KT
계급,23,2,KT
천박,1,0,KT
자본주의,1,0,KT
출처,14,0,KT
서울대,9,2,KT
법대,7,0,KT
분명,32,0,KT
김누리,6,0,KT
교수,10,0,KT
강의,7,0,KT
코너,8,0,KT
보기,14,1,KT
철학,5,0,KT
광고,50,8,KT
출연,4,2,KT
사연,5,2,KT
전화번호,16,8,KT
구심점,2,0,KT
게다가,11,0,KT
이익,37,10,KT
국가,47,4,KT
우선,56,4,KT
전혀,46,6,KT
극단,3,2,KT
우익,2,0,KT
보수,17,10,KT
자칭,7,0,KT
뿌리다,22,8,KT
종북주의,2,0,KT
내셔널리즘,2,0,KT
탄핵,44,3,KT
반대,32,6,KT
머리,23,8,KT
극우,8,2,KT
애국자,4,0,KT
구하다,59,20,KT
구호,6,0,KT
진심,8,0,KT
자신,34,0,KT
수첩,7,0,KT
심판,20,0,KT
선고,10,0,KT
전야,4,0,KT
광장,19,2,KT
메우다,5,0,KT
기각,5,2,KT
함성,3,0,KT
앞두다,30,0,KT
헌법재판소,17,0,KT
불신,3,0,KT
장하나,2,0,KT
부정,7,0,KT
선거,9,0,KT
무단,7,0,KT
전재,5,0,KT
전부,74,22,KT
부탁드릴꼐요감사합니다,1,0,KT
보심,6,4,KT
신한,67,12,KT
자전거,16,8,KT
인내력,2,0,KT
신한카드,31,10,KT
요기,19,2,KT
제휴,74,24,KT
라인,46,11,KT
제외,106,28,KT
관리비,20,8,KT
미스,2,2,KT
나인,7,2,KT
아쿠아,101,16,KT
대표자,0,2,KT
대표,56,4,KT
운영,59,4,KT
공식,88,21,KT
와전,2,0,KT
역시,77,16,KT
뿜뿌가,2,0,KT
최고,95,7,KT
교육,22,2,KT
파시스트,1,0,KT
엘리트,6,1,KT
양성,3,0,KT
기관,34,4,KT
베스트,17,6,KT
한국,138,80,KT
태어나다,3,0,KT
자라다,2,2,KT
독일,33,0,KT
상위,13,0,KT
성적,12,0,KT
사법,4,0,KT
연수,3,0,KT
불리다,8,2,KT
코스,16,4,KT
과정,31,0,KT
절대로,12,2,KT
스스로,12,3,KT
판사,22,2,KT
검사,10,0,KT
인식,70,22,KT
직업,19,0,KT
거리,32,5,KT
특권,3,0,KT
의식,8,0,KT
시설,6,0,KT
관리,64,5,KT
이든,11,0,KT
보안,22,3,KT
담당,7,0,KT
하버드,2,0,KT
할아버지,2,0,KT
자기,88,14,KT
위하다,154,23,KT
시험,2,0,KT
절대,43,17,KT
잘나다,1,2,KT
마치,5,0,KT
대단히,7,0,KT
특별,26,0,KT
카르,2,0,KT
형성,7,0,KT
칭송,1,0,KT
굉장히,12,3,KT
소위,8,0,KT
주위,5,2,KT
주의,23,4,KT
주인,10,2,KT
주권,4,0,KT
대등,2,0,KT
고양,8,2,KT
다행이,5,2,KT
몇몇,9,2,KT
버들,4,0,KT
대인,7,8,KT
언급,32,6,KT
동기,8,5,KT
주변,31,0,KT
똑똑,12,0,KT
천재,18,14,KT
강조,18,0,KT
온종일,0,2,KT
중대,3,2,KT
범죄자,1,2,KT
양성소,0,2,KT
사법시험,4,0,KT
환상,7,0,KT
미디어,21,0,KT
통과,6,0,KT
미화,3,0,KT
기성세대,4,0,KT
잠재,11,0,KT
압축,12,1,KT
적재적소,2,0,KT
배치,10,0,KT
기계,57,10,KT
용인,10,0,KT
권능,4,0,KT
부여,14,0,KT
위주,17,4,KT
성향,5,2,KT
결부,2,0,KT
용납,2,0,KT
언터쳐블,2,0,KT
무너뜨리다,2,0,KT
아프다,29,3,KT
반공,4,0,KT
소중,10,0,KT
내면,30,12,KT
사법연수원,3,0,KT
갈리다,7,0,KT
에그,2,0,KT
카르테,2,0,KT
맛나,1,0,KT
잡범,2,0,KT
정치,28,4,KT
경제,50,0,KT
사범,2,0,KT
형량,2,0,KT
강하다,12,2,KT
호히려,2,0,KT
모양,14,2,KT
이지,14,3,KT
축구,10,0,KT
의사,7,0,KT
수술,9,0,KT
하지,21,3,KT
좋은사람,8,0,KT
용접,4,0,KT
대한민국,27,2,KT
끝없이,2,0,KT
신분,86,17,KT
독점,11,0,KT
주장,39,0,KT
이끌다,18,0,KT
도덕,6,0,KT
착취,4,0,KT
해도,45,6,KT
끊임없이,3,0,KT
강요,20,2,KT
당하,72,26,KT
세상,34,0,KT
부패,2,0,KT
세뇌,4,0,KT
하지만,40,4,KT
그럼에도 불구하고,2,0,KT
환경,51,4,KT
용이,4,0,KT
주요,37,0,KT
이슈,38,4,KT
뉴욕,15,0,KT
증시,48,0,KT
현지,60,4,KT
트럼프,153,2,KT
관세,142,31,KT
불확실성,8,0,KT
지속,40,0,KT
하락,39,0,KT
다우,11,0,KT
나스닥,8,0,KT
필라델피아,9,0,KT
반도체,34,0,KT
국제,40,1,KT
유가,17,0,KT
배럴,9,0,KT
위험,14,2,KT
심리,8,0,KT
일부,96,58,KT
완화,9,0,KT
소폭,7,0,KT
상승,77,0,KT
브렌트유,8,0,KT
온스,9,0,KT
금리,36,0,KT
인하,24,0,KT
달러화,4,0,KT
약세,12,0,KT
달러,188,419,KT
종전,16,0,KT
유로화,2,0,KT
강세,10,1,KT
역외,9,0,KT
환율,39,13,KT
유럽,46,0,KT
영국,21,1,KT
프랑스,17,0,KT
백악관,11,0,KT
캐나다,19,0,KT
철강,4,0,KT
알루미늄,8,0,KT
발효,3,0,KT
침체,7,0,KT
구인,1,1,KT
상회,13,0,KT
폭락,5,0,KT
한순간,1,0,KT
스냅샷,1,0,KT
전환기,1,0,KT
국채,10,0,KT
입찰,9,0,KT
수요,41,0,KT
수익률,9,0,KT
월래,1,0,KT
실종,2,0,KT
빨리,89,18,KT
골드,11,2,KT
변동,21,11,KT
시장,80,2,KT
주목,30,0,KT
분야,27,0,KT
두각,1,0,KT
대비,44,10,KT
주가,33,2,KT
씨티,2,0,KT
주식 투자,1,0,KT
의견,48,6,KT
중립,77,12,KT
하향,5,0,KT
유명,24,3,KT
론자,1,0,KT
기술,61,2,KT
총아,1,0,KT
매수,13,0,KT
구글,40,2,KT
로보,7,3,KT
택시,22,4,KT
웨이,3,0,KT
마운틴뷰,1,0,KT
실리콘밸리,4,0,KT
확대,40,0,KT
엔비디아,9,0,KT
반등,14,0,KT
내주,2,0,KT
콘퍼런스,1,0,KT
관심,34,4,KT
위원,5,0,KT
무역,12,0,KT
전쟁,39,1,KT
감소,11,0,KT
카니,1,0,KT
차기,4,0,KT
총리,10,0,KT
미국,145,9,KT
존중,2,0,KT
나토,4,0,KT
방위비,3,0,KT
논의,15,0,KT
투자,76,4,KT
열풍,4,0,KT
홍콩,2,0,KT
알리바바,3,0,KT
텐센트,2,0,KT
집중,26,0,KT
매입,21,4,KT
양회,3,0,KT
폐막,1,0,KT
내수,7,1,KT
안팎,2,0,KT
목표,27,0,KT
확정,184,57,KT
수도권,29,4,KT
충남,2,0,KT
미세먼지,7,0,KT
북부,2,0,KT
제주,5,0,KT
산업,31,2,KT
가전,7,3,KT
저하,5,0,KT
불가피,8,0,KT
뒷걸음치다,1,0,KT
파운드리,4,0,KT
격차,2,0,KT
벌어지다,15,2,KT
삼성전자,24,2,KT
나노,3,4,KT
양산,7,0,KT
개시,20,3,KT
초석,1,0,KT
다지다,2,0,KT
평택,13,0,KT
재개,9,0,KT
연내,11,0,KT
돌입,5,0,KT
들여오다,1,0,KT
천억,18,13,KT
하이,112,17,KT
반입,1,0,KT
상표,3,0,KT
침해,7,0,KT
제동,2,0,KT
카피캣,1,0,KT
유리기,26,0,KT
불똥,5,0,KT
상대,24,6,KT
특허,2,0,KT
버티다,37,2,KT
수주,15,0,KT
잭팟,4,0,KT
건설업,7,0,KT
신용,18,12,KT
경고,17,2,KT
강등,1,0,KT
중소,7,0,KT
법정,7,2,KT
원유,7,0,KT
시추,5,0,KT
파이프,2,0,KT
폭증,2,0,KT
세아제강,1,0,KT
지주,10,0,KT
공장,31,5,KT
가동,6,0,KT
호재,2,0,KT
겹치다,10,2,KT
조선업,3,0,KT
군함,2,0,KT
이어,30,5,KT
주문,167,63,KT
폭발,15,0,KT
수출액,2,0,KT
최대,147,81,KT
경신,6,0,KT
현대차,12,0,KT
울산,15,2,KT
수소,2,0,KT
연료전지,1,0,KT
공세,2,0,KT
전략,25,0,KT
레드,13,0,KT
트랙,4,0,KT
본격,27,0,KT
한화,85,4,KT
형제,6,0,KT
한화에너지,1,0,KT
쫓겨나다,4,0,KT
배터리,165,22,KT
공략,8,0,KT
엔화,2,0,KT
바쁘다,22,2,KT
대출,34,4,KT
게임,137,162,KT
체인,12,2,KT
저가,28,6,KT
삼성전기,6,0,KT
생산,43,6,KT
임박,3,0,KT
토스,56,12,KT
가속,18,2,KT
대형,20,1,KT
물류,13,2,KT
인수,23,2,KT
업계,34,0,KT
구조조정,3,0,KT
내달,7,0,KT
밑그림,3,0,KT
내놓다,25,4,KT
홈플러스,21,1,KT
신영증권,1,0,KT
회생,2,0,KT
직전,36,8,KT
월말,17,6,KT
회동,6,0,KT
한국타이어,1,0,KT
람보르기니,1,0,KT
밀월,1,0,KT
조현,1,0,KT
만나다,68,34,KT
피크,1,0,KT
편의,10,0,KT
네트웍스,1,0,KT
퀄컴,8,3,KT
손잡다,9,0,KT
사업,54,2,KT
강화,57,2,KT
아이스크림,1,0,KT
줄줄이,7,0,KT
식료,1,0,KT
투심,3,4,KT
활활,1,0,KT
현대카드,13,0,KT
비중,11,0,KT
불과,4,0,KT
리노,1,0,KT
공업,1,0,KT
소켓,11,16,KT
매출,34,0,KT
회복,12,3,KT
견조,3,0,KT
배달업,1,0,KT
배달,37,5,KT
로봇,36,31,KT
홍범식,1,0,KT
사장,26,8,KT
플랫폼,47,2,KT
조원태,1,0,KT
대한항공,3,0,KT
로고,20,0,KT
에어부산,1,0,KT
분리,16,6,KT
매각,11,2,KT
양자,10,0,KT
버추얼,1,0,KT
스트리밍,1,1,KT
조준,4,0,KT
현대제철,3,0,KT
직장,24,3,KT
폐쇄,9,4,KT
노조,3,0,KT
파업,3,0,KT
철회,31,2,KT
아이엘,3,0,KT
모빌리티,4,0,KT
경영,19,0,KT
부품,32,4,KT
살리다,17,2,KT
싸이월드,1,0,KT
매물,32,4,KT
부활,5,0,KT
난기류,2,0,KT
공기업,8,2,KT
최대어,1,0,KT
한국전력공사,1,0,KT
감사인,1,0,KT
삼정,1,0,KT
회계,2,0,KT
법인,13,4,KT
카오,10,2,KT
나란히,3,0,KT
주총,2,0,KT
이해진,1,0,KT
이사회,8,0,KT
의장,6,2,KT
창안,1,0,KT
샤오,21,19,KT
기차,46,12,KT
진출,25,0,KT
에프,3,0,KT
조원,17,0,KT
규모,45,2,KT
니켈,4,0,KT
양극,4,0,KT
에이치,2,0,KT
신기록,4,0,KT
행진,2,0,KT
미래,21,0,KT
유증,1,0,KT
흥행,6,0,KT
공짜,34,18,KT
홈쇼핑,6,0,KT
규제,18,0,KT
유산,2,0,KT
음료,14,0,KT
동원,10,2,KT
천정부지,1,0,KT
커피,35,7,KT
진정,7,2,KT
급락,15,0,KT
선점,1,0,KT
스튜디오,7,2,KT
방산,13,0,KT
소프트웨어,3,0,KT
늘리다,35,0,KT
현대,24,8,KT
라온,2,2,KT
지능,9,1,KT
파워,22,6,KT
모듈,16,0,KT
해외,145,33,KT
공급,19,8,KT
최초,32,10,KT
소용,1,0,KT
사망,9,0,KT
보험금,2,2,KT
제약,19,2,KT
금액,294,120,KT
파마,7,0,KT
빅딜,1,0,KT
신라,3,0,KT
코렌텍,1,0,KT
자회사,16,0,KT
우성,1,0,KT
췌장암,1,0,KT
환자,3,0,KT
고압,1,0,KT
전기,20,18,KT
암세포,1,0,KT
죽이다,24,0,KT
화이자,1,0,KT
토막,30,2,KT
위태,2,0,KT
의료,8,0,KT
개발,76,2,KT
메디씽큐,1,0,KT
유치,8,0,KT
국민연금,11,0,KT
삼성증권,1,0,KT
지분,7,0,KT
단수,2,0,KT
조선,9,0,KT
국민주,2,0,KT
주주,14,0,KT
고려아연,5,0,KT
순환출자,1,0,KT
탈법,1,0,KT
여부,69,16,KT
착수,11,0,KT
삼부,4,0,KT
토건,4,0,KT
금감원,6,2,KT
조작,11,0,KT
판가름,1,2,KT
단서,1,0,KT
실체,2,0,KT
티엑스알로보틱스,1,0,KT
청약,5,0,KT
코스닥,6,0,KT
상장,33,0,KT
장주,2,0,KT
전하,5,0,KT
후끈,2,0,KT
대체,38,6,KT
거래소,8,0,KT
종목,5,0,KT
테슬라,19,1,KT
엔솔포스코홀딩스,1,0,KT
손실,19,2,KT
서학,2,0,KT
개미,13,0,KT
패닉,3,0,KT
시행,12,0,KT
공모,11,0,KT
펀드,5,0,KT
정액,15,2,KT
과도,2,0,KT
차용,1,0,KT
필름,69,12,KT
신규,340,69,KT
플라스틱,2,0,KT
종이,7,2,KT
장재,1,0,KT
홀리다,2,0,KT
밤샘,1,0,KT
학생,4,1,KT
필수템,1,0,KT
핫식스,1,0,KT
얼어붙다,2,0,KT
리플,1,0,KT
올림플래닛,1,0,KT
예비,11,8,KT
심사,12,2,KT
청구,113,23,KT
중화,3,0,KT
쏟아지다,15,2,KT
주의보,1,0,KT
증권사,4,0,KT
자금,14,2,KT
넥스트,5,0,KT
모험,5,0,KT
자본,4,0,KT
손발,3,0,KT
당국,4,0,KT
엔터,8,0,KT
악화,6,0,KT
급제동,1,2,KT
케이,33,3,KT
스톤,1,0,KT
메카,4,0,KT
닉스,42,14,KT
회수,24,0,KT
부동산,19,0,KT
공포,14,0,KT
덮치다,5,0,KT
이중,17,6,KT
고정,10,14,KT
역습,1,0,KT
이자,83,17,KT
부담,39,6,KT
커지다,20,7,KT
중도,7,0,KT
상환,2,1,KT
수수료,39,20,KT
내리다,62,10,KT
갈아타다,64,10,KT
활성,23,4,KT
포트폴리오,1,0,KT
주식채권까지롱숏,1,0,KT
열리다,66,8,KT
육박,1,0,KT
예금,2,0,KT
썰물,1,0,KT
테크,27,4,KT
차익,7,2,KT
실현,3,0,KT
나서다,60,6,KT
평균,49,2,KT
실거래,4,0,KT
원년,3,0,KT
분양,16,0,KT
정국,4,0,KT
수요자,1,0,KT
오세훈,2,0,KT
혼돈,1,0,KT
부르다,57,10,KT
완파,4,0,KT
이천,1,0,KT
미분,2,0,KT
속출,1,0,KT
신고,27,4,KT
강남,14,2,KT
집값,13,0,KT
불길,1,0,KT
용성,3,0,KT
노도,1,0,KT
번지다,1,0,KT
제안,19,0,KT
상설,2,0,KT
환영,4,4,KT
의적,1,0,KT
사들이다,3,0,KT
물량,62,8,KT
채중,1,0,KT
공실,1,0,KT
공사비,5,0,KT
급등,19,0,KT
여파,9,0,KT
노선,29,4,KT
좌초,3,0,KT
감사원장,1,0,KT
늦추다,3,0,KT
정인교,1,0,KT
설득,5,0,KT
방미,1,0,KT
최상,46,0,KT
국정협,1,0,KT
매우,44,5,KT
유감,2,0,KT
광화문,5,2,KT
삭발,1,0,KT
단식,1,0,KT
헌재,21,2,KT
릴레이,1,0,KT
시위,11,8,KT
정무위,1,0,KT
김병주,27,4,KT
회장,16,0,KT
사태,14,0,KT
책임,19,2,KT
점포,2,4,KT
임차인,1,0,KT
정산,18,0,KT
대금,12,2,KT
조기,11,2,KT
변제,2,0,KT
잠재력,2,0,KT
확보,27,2,KT
상속,4,0,KT
세법,3,0,KT
합의,19,0,KT
초읽기,1,0,KT
패스트,17,0,KT
주시,15,0,KT
예외,3,0,KT
근로,1,0,KT
청년,11,1,KT
생활비,10,0,KT
직업훈련,1,0,KT
계좌,46,16,KT
지급,127,12,KT
대선,9,2,KT
시리아,1,0,KT
수교,1,0,KT
외교,4,0,KT
고립,1,0,KT
심화,3,0,KT
인구,13,0,KT
절벽,1,0,KT
반영,56,9,KT
재정,3,0,KT
최후,8,2,KT
보루,4,0,KT
교육비,1,0,KT
줄이다,48,8,KT
지수,13,0,KT
성장률,5,0,KT
일만엡트럼프,1,0,KT
폭주,1,0,KT
열차,19,4,KT
탈선,1,0,KT
한반도,3,0,KT
동아,15,0,KT
차관보,1,0,KT
태국,12,4,KT
대사,1,0,KT
휴전,4,0,KT
방안,20,0,KT
광물,4,0,KT
협정,14,0,KT
조속히,1,0,KT
푸틴,3,0,KT
렌스,13,0,KT
초대,47,0,KT
미우,2,0,KT
회담,8,0,KT
평화,8,4,KT
당일,52,6,KT
불붙다,4,0,KT
전선,6,0,KT
점령지,1,0,KT
쿠르스크,1,0,KT
진격,5,2,KT
획기적,1,0,KT
부양책,2,0,KT
폭스콘,1,0,KT
대만,16,6,KT
폭스,1,0,KT
브레인,3,0,KT
출시,66,8,KT
근접,8,2,KT
부진,12,0,KT
닛산,2,0,KT
이달,15,5,KT
퇴임,1,0,KT
직원,93,14,KT
신임,6,0,KT
폭스바겐,1,0,KT
작년,111,14,KT
순익,3,0,KT
소시지,1,0,KT
팔리다,78,50,KT
스마트폰,28,0,KT
판매량,22,12,KT
전년,9,0,KT
벤츠,3,0,KT
허사,1,0,KT
스마트,56,22,KT
한방,9,1,KT
주고받다,3,0,KT
정상회담,4,0,KT
기싸움,3,0,KT
중국,50,6,KT
바닥,9,1,KT
굴착기,1,0,KT
중국산,8,2,KT
자동차,18,8,KT
수입,15,2,KT
알래스카,7,0,KT
급하다,34,10,KT
저리,11,8,KT
지원,248,36,KT
거물,2,0,KT
과시,2,0,KT
소한,4,0,KT
마리,4,0,KT
실온,1,2,KT
보관,12,2,KT
육포,2,0,KT
부채살,2,0,KT
적립금,9,8,KT
페이코앱,1,0,KT
미트,8,4,KT
프로젝트,22,4,KT
우주,97,23,KT
무료,595,131,KT
고기,15,1,KT
온라인,84,19,KT
정육점,2,0,KT
앱다운로드,1,0,KT
신동,1,0,KT
화면,74,12,KT
이미지,32,0,KT
인천,23,1,KT
썬팅어디서토스,1,0,KT
우거지,2,0,KT
얼큰,1,0,KT
타겟,10,0,KT
토스앱,3,1,KT
진행,235,20,KT
중인,77,13,KT
참피,1,0,KT
피디,1,0,KT
레조,1,0,KT
수신,26,0,KT
나비,2,2,KT
사동,3,0,KT
앱에서,11,4,KT
우하다,0,2,KT
톱니바퀴,2,2,KT
아이콘,3,2,KT
누르다,60,22,KT
순서,27,9,KT
키시,4,2,KT
국산,8,0,KT
본문,31,4,KT
마라탕,2,0,KT
인줄,19,2,KT
구경,21,3,KT
국수전,1,0,KT
골자,1,0,KT
유합,1,1,KT
김영우,11,0,KT
순위,11,2,KT
유니폼,16,0,KT
포즈,5,0,KT
사진,125,16,KT
스포츠월드,5,0,KT
리그,48,2,KT
루키,3,0,KT
훈풍,3,0,KT
쌍둥이,2,0,KT
군단,9,0,KT
바람,40,9,KT
만끽,1,0,KT
서울고,3,0,KT
영예,3,0,KT
안고,1,0,KT
줄무늬,3,0,KT
스포트라이트,2,0,KT
덜하다,9,0,KT
지명자,2,0,KT
현우,7,0,KT
김태형,1,0,KT
순번,6,0,KT
밀리다,81,10,KT
부상,14,0,KT
고등학교,5,1,KT
학년,11,0,KT
당시,52,4,KT
토미,1,0,KT
팔꿈치,3,0,KT
인대,5,6,KT
재건술,1,0,KT
유급,1,0,KT
아픔,1,0,KT
옥석,2,0,KT
스카우트,1,0,KT
입장,50,10,KT
폭풍,3,2,KT
실패,21,4,KT
배경,10,0,KT
아쉬움,9,0,KT
정통파,1,0,KT
피처,2,0,KT
시속,6,0,KT
가볍다,11,5,KT
묵직,3,0,KT
고교,4,0,KT
대학,11,0,KT
올스타전,1,0,KT
마무리 투수,12,0,KT
등판,9,0,KT
강렬,1,0,KT
하나로,20,8,KT
코칭스태프,3,0,KT
매료,1,0,KT
곧장,7,0,KT
스프링,41,0,KT
캠프,84,0,KT
합류,10,0,KT
높이다,33,0,KT
지난달,30,8,KT
애리조나,3,0,KT
훈련,43,0,KT
임하다,7,0,KT
트윈스,7,0,KT
제공,214,15,KT
실전,12,0,KT
오키나와,30,0,KT
연습,37,0,KT
경쟁력,7,0,KT
배짱,2,0,KT
염경엽,3,0,KT
발등,3,0,KT
주춤,3,0,KT
마무리,31,4,KT
장현식,2,0,KT
초반,24,2,KT
빈자리,3,4,KT
맡기다,9,0,KT
흔하다,12,0,KT
펼쳐지다,6,0,KT
무실점,6,0,KT
한껏,1,0,KT
중책,1,0,KT
시선,6,0,KT
듬직,2,0,KT
멘탈,5,0,KT
이기다,26,5,KT
다그,13,2,KT
막중,1,0,KT
최대한,27,4,KT
부응,1,0,KT
스럽,57,2,KT
다기,5,0,KT
나아가다,3,0,KT
언젠가,12,0,KT
은퇴,5,2,KT
보직,3,0,KT
인생,21,3,KT
기쁘다,6,0,KT
들뜨다,3,0,KT
먼저,93,14,KT
주어지다,6,0,KT
위치,31,2,KT
최선,25,4,KT
따라오다,4,0,KT
목소리,6,3,KT
위즈,25,0,KT
파크,17,0,KT
역투,2,0,KT
마음,85,29,KT
다잡다,4,0,KT
욕심,11,2,KT
신인왕,9,0,KT
궁극,3,0,KT
단계,35,4,KT
개막,16,0,KT
엔트리,4,0,KT
오래,61,7,KT
미소,7,0,KT
뽐내다,3,0,KT
뜨겁다,18,0,KT
결실,1,0,KT
각자,22,4,KT
신경,53,9,KT
당차다,2,0,KT
각오,14,2,KT
띄우다,10,4,KT
행운,9,2,KT
풀려나다,1,0,KT
날짜,42,12,KT
뉴스데스크,8,0,KT
지침,2,2,KT
일선,1,0,KT
재판부,7,0,KT
날로,2,0,KT
말리다,12,2,KT
세끼,4,0,KT
시발,2,1,KT
아이,161,38,KT
좋같은,2,0,KT
꺼꾸로,2,0,KT
매달다,14,2,KT
시원찮다,2,0,KT
법치,7,4,KT
특정인,0,2,KT
공산당,0,4,KT
니들,3,5,KT
제이,12,1,KT
와이,15,1,KT
오색,5,2,KT
공소시효,2,0,KT
사단,9,0,KT
처음,201,27,KT
근거,15,0,KT
항소,4,0,KT
해체,5,0,KT
개새끼,2,0,KT
후에,44,14,KT
꼬박,1,0,KT
대리점,192,56,KT
실제,68,4,KT
징구,2,0,KT
파랑,1,0,KT
아이즈,21,4,KT
수감,2,0,KT
사례,41,0,KT
점점,14,2,KT
꼬이다,9,4,KT
해명,3,0,KT
토대,5,0,KT
저희,78,14,KT
받아들이다,2,0,KT
피의자,10,0,KT
세로,3,2,KT
메모장,1,0,KT
공범,0,6,KT
마약,2,2,KT
주도,9,2,KT
즉결,0,2,KT
처형,3,8,KT
가야,20,7,KT
조건첫번쨰,1,0,KT
출고,76,40,KT
프리미엄,158,31,KT
아마도두번쨰,1,0,KT
대략,51,4,KT
읺습니다공시지원금불법보조금은,1,0,KT
정하다,35,6,KT
판매자,121,63,KT
토하다,7,0,KT
읺습니다,1,0,KT
불법,19,6,KT
보조금,23,10,KT
라용,2,1,KT
탕이,2,0,KT
숨기다,13,3,KT
넌누구닝이거,1,0,KT
보나,5,0,KT
쓰호천사이거,1,0,KT
롯데시네마,6,0,KT
기한,14,12,KT
한참,36,10,KT
쓰호천사헐,0,1,KT
빼에에엑팡매중지라,1,0,KT
팡매중지라,1,0,KT
그깟,7,0,KT
놀이,14,2,KT
새벽,92,9,KT
보조,72,15,KT
이심,148,57,KT
제목,52,8,KT
지방,111,7,KT
공무원,21,0,KT
파견,11,0,KT
근무자,4,0,KT
모집,15,0,KT
보건,24,0,KT
복지부,11,0,KT
정책실,6,0,KT
요양,8,0,KT
보험,258,73,KT
노인,22,2,KT
정책관,3,0,KT
마감일,9,0,KT
파일,46,2,KT
채용,28,4,KT
직급,9,0,KT
행정,7,0,KT
명근,8,0,KT
공고,8,4,KT
제호,6,0,KT
안내,168,43,KT
개요,3,2,KT
모집인,2,0,KT
지자체,9,0,KT
근무,18,8,KT
형태,16,0,KT
지방공무원임용령,2,0,KT
조의,5,0,KT
필요시,3,0,KT
근무처,1,0,KT
소재지,2,0,KT
세종특별자치시,2,0,KT
가름,2,0,KT
세종,13,2,KT
타워,4,0,KT
니트,3,0,KT
전문,48,0,KT
통계,7,4,KT
분장,5,0,KT
일정,43,7,KT
신청자,15,0,KT
접수,161,11,KT
면접,11,0,KT
장소,8,2,KT
대상자,49,14,KT
개별,24,2,KT
통보,14,0,KT
간담회,2,0,KT
출장,62,10,KT
공문,3,0,KT
송부,8,0,KT
선발,29,0,KT
소속,9,0,KT
협조,2,0,KT
요청,80,15,KT
제출,29,4,KT
서류,29,16,KT
붙임,5,0,KT
소개서,1,0,KT
메일,50,6,KT
주소,27,8,KT
최종천,1,0,KT
없어서스맛폰을,1,0,KT
피처폰처럼사용히게,1,0,KT
완전,68,10,KT
실시간,27,10,KT
패밀리,16,4,KT
데시,4,0,KT
오니,3,2,KT
