단어,positive,negative,그룹
고향,1,0,KT Skylife
경주,1,0,KT Skylife
지방,1,0,KT Skylife
주일,3,0,KT Skylife
오지,1,0,KT Skylife
연락,17,0,KT Skylife
회사,5,2,KT Skylife
방문,4,0,KT Skylife
정비,1,0,KT Skylife
기사,16,2,KT Skylife
연락처,1,2,KT Skylife
알리다,10,12,KT Skylife
거의,5,0,KT Skylife
힘들다,2,0,KT Skylife
바쁘다,3,0,KT Skylife
저녁,5,2,KT Skylife
사이,0,2,KT Skylife
남기다,2,2,KT Skylife
가전,1,2,KT Skylife
포럼,1,4,KT Skylife
올리다,8,6,KT Skylife
급하다,0,2,KT Skylife
삭제,2,2,KT Skylife
옮기다,5,10,KT Skylife
명분,0,2,KT Skylife
뢰허저도,1,0,KT Skylife
친구,9,0,KT Skylife
어머니,5,0,KT Skylife
동안,7,2,KT Skylife
신청,16,6,KT Skylife
인터넷,84,8,KT Skylife
초기,2,2,KT Skylife
진행,17,2,KT Skylife
나와서스라,1,0,KT Skylife
취소,16,0,KT Skylife
만원,71,14,KT Skylife
아끼다,2,0,KT Skylife
보드,2,0,KT Skylife
나가다,5,0,KT Skylife
컴퓨터,2,0,KT Skylife
노트북,3,0,KT Skylife
이쪽,2,0,KT Skylife
스라,23,0,KT Skylife
저렴,9,0,KT Skylife
홈페이지,16,6,KT Skylife
없어,2,0,KT Skylife
설치,92,0,KT Skylife
요금,163,19,KT Skylife
만족,17,0,KT Skylife
사은품,17,4,KT Skylife
이렇다,18,1,KT Skylife
조건,32,6,KT Skylife
어떤,14,5,KT Skylife
가요,52,4,KT Skylife
희망,7,1,KT Skylife
싸납다,6,0,KT Skylife
뿌루룩쪽지,1,0,KT Skylife
앗쒸근데,1,0,KT Skylife
여기,9,1,KT Skylife
후기,15,4,KT Skylife
간간히,2,0,KT Skylife
주기,2,0,KT Skylife
계속,18,4,KT Skylife
올라오다,2,0,KT Skylife
서로서로,0,2,KT Skylife
공유,9,8,KT Skylife
강적,4,0,KT Skylife
화질,27,2,KT Skylife
어떻다,14,5,KT Skylife
커지다,2,0,KT Skylife
나빠지다,2,0,KT Skylife
요번,2,0,KT Skylife
바꾸다,24,10,KT Skylife
전하다,2,0,KT Skylife
차이,16,4,KT Skylife
느끼다,3,0,KT Skylife
엣헴엣헴신이나시골집에,1,0,KT Skylife
시골집,1,0,KT Skylife
엣헴엣헴신이나감사합니다,1,0,KT Skylife
뽐뿌,8,2,KT Skylife
업체,11,10,KT Skylife
해서,2,0,KT Skylife
끝나다,7,4,KT Skylife
처리,11,8,KT Skylife
입금,1,0,KT Skylife
도대체,2,0,KT Skylife
경기도,1,0,KT Skylife
전라도,1,0,KT Skylife
광주,1,0,KT Skylife
개인,5,0,KT Skylife
이랑,10,0,KT Skylife
각각,1,0,KT Skylife
따로,2,4,KT Skylife
본인,6,6,KT Skylife
확인,51,2,KT Skylife
하고,1,0,KT Skylife
대포,1,0,KT Skylife
분도,2,0,KT Skylife
그런,3,0,KT Skylife
얼마,2,4,KT Skylife
전체,1,2,KT Skylife
일찍,3,0,KT Skylife
세븐,9,0,KT Skylife
보리,1,0,KT Skylife
율무,1,0,KT Skylife
라다,3,1,KT Skylife
헬로,10,0,KT Skylife
노브렌헬로,1,0,KT Skylife
모도,3,0,KT Skylife
보니,9,4,KT Skylife
오리,1,0,KT Skylife
분할,6,4,KT Skylife
납부,40,34,KT Skylife
현재,5,2,KT Skylife
장기,3,0,KT Skylife
천원,8,4,KT Skylife
구형,1,0,KT Skylife
십수,1,0,KT Skylife
갈아타다,5,0,KT Skylife
제목,1,0,KT Skylife
반기,1,0,KT Skylife
메가,17,4,KT Skylife
얼마나,4,0,KT Skylife
용해,3,0,KT Skylife
도쿄,1,0,KT Skylife
신주쿠,1,0,KT Skylife
이어,1,1,KT Skylife
플로,0,4,KT Skylife
신라,2,2,KT Skylife
의대,2,2,KT Skylife
마왕,2,2,KT Skylife
하늘,2,2,KT Skylife
품질,9,2,KT Skylife
자급,5,0,KT Skylife
조합,1,0,KT Skylife
무적,1,0,KT Skylife
효율,1,0,KT Skylife
귀족,1,0,KT Skylife
저희,5,0,KT Skylife
집사람,2,0,KT Skylife
구뭉올에,2,0,KT Skylife
공짜,2,0,KT Skylife
베이직,2,0,KT Skylife
짜리,5,4,KT Skylife
영조물,1,0,KT Skylife
박도,2,0,KT Skylife
터지다,6,2,KT Skylife
